id,name,category,type,ship_to_name,ship_to_erp,ship_to_id,license_plate_number,erp_id,Asset Type,Tank Size,Hub,LoS,Date Added
56265,114,tank_wagon,DeliveryAsset,Houston HUB,,135003,114,,,,,,
56268,Tank-DF-01,tank,CustomerAsset,251 Wesley Chapel,,33588,Tank-DF-01,,,,,,
56269,Tank-DFRED-01,tank,CustomerAsset,251 Wesley Chapel,,33588,Tank-DFRED-01,,,,,,
56270,Tank-DF-01,tank,CustomerAsset,Army Corp of Engineer,,33589,Tank-DF-03,,,,,,
56271,Tank-DFRED-01,tank,CustomerAsset,Army Corp of Engineer,,33589,Tank-DFRED-02,,,,,,
56546,7576,tank_wagon,DeliveryAsset,Houston HUB,,135003,7576,,,,,,
56576,MS-006,tank,RentalAsset,TxDot Harris SH 288,80001B1C-1677002827-TxDot Harris SH 288,762999,MS-006,MS-006,,,,,
56577,MS-2019,tank,RentalAsset,Woodlake Motors Yard,80002504-1729722464-Woodlake Motors Yard,756058,MS-2019,MS-2019,,,,,
56585,MS-420,tank,RentalAsset,Tidwell Rd,80000570-1500498115-Tidwell Rd,511888,MS-420,MS-420,,,,,
56595,MS-516,tank,RentalAsset,Ship To 1,800012AB-1625685253-Ship To 1,34494,MS-516,MS-516,,,,,
56596,MS-017,tank,RentalAsset,Ship To 1,800012AB-1625685253-Ship To 1,34494,MS-017,MS-017,,,,,
56600,MS-1338,tank,RentalAsset,Franklington,80001E8C-1696612115-Franklington,537547,MS-1338,MS-1338,,,,,
56603,MS-1258,tank,RentalAsset,11TH STREET,80000EEC-1596039875-11TH STREET,515120,MS-1258,MS-1258,,,,,
56610,MS-1119,tank,RentalAsset,Sandune Rd,8000063D-1507033645-Sandune Rd,35546,MS-1119,MS-1119,,,,,
56612,MS-477,tank,RentalAsset,Ship To 1,8000104E-1605623466-Ship To 1,35612,MS-477,MS-477,,,,,
56621,MS-1033,tank,RentalAsset,I-10,80001148-1614702989-I-10,36121,MS-1033,MS-1033,,,,,
56622,MS-1244,tank,RentalAsset,Loop 250,800019BD-1667418005-Loop 250,706502,MS-1244,MS-1244,,,,,
56625,MS-257,tank,RentalAsset,Bridgeland Sec 12,80000362-1470928926-Bridgeland Sec 12,562201,MS-257,MS-257,,,,,
56632,MS-2113,tank,RentalAsset,Decker Prairie 26726,80000980-1559070915-Decker Prairie 26726,36851,MS-2113,MS-2113,,,,,
